uf,ano,populacao,populacao_economicamente_ativa
MT,2008,2957732,
PA,2008,7321493,
PB,2008,3742606,
PE,2008,8734194,
PI,2008,3119697,
PR,2008,10590169,
RJ,2008,15872362,
RN,2008,3106430,
RO,2008,1493566,
RR,2008,412783,
RS,2008,10855214,
SC,2008,6052587,
SE,2008,1999374,
SP,2008,41011635,
TO,2008,1280509,
AC,2009,691132,
AL,2009,3156108,
AM,2009,3393369,
AP,2009,626609,
BA,2009,14637364,
CE,2009,8547809,
DF,2009,2606885,
ES,2009,3487199,
GO,2009,5926300,
MA,2009,6367138,
MG,2009,20033665,
MS,2009,2360498,
MT,2009,3001692,
PA,2009,7397238,
PB,2009,3769977,
PE,2009,8810256,
PI,2009,3145325,
PR,2009,10686247,
RJ,2009,16010429,
RN,2009,3137541,
RO,2009,1503928,
RR,2009,421499,
RS,2009,10914128,
SC,2009,6118743,
SE,2009,2019679,
SP,2009,41384039,
TO,2009,1292051,
AC,2010,733559,
AL,2010,3120494,
AM,2010,3483985,
AP,2010,669526,
BA,2010,14016906,
CE,2010,8452381,
DF,2010,2570160,
ES,2010,3514952,
GO,2010,6003788,
MA,2010,6574789,
MG,2010,19597330,
MS,2010,2449024,
MT,2010,3035122,
PA,2010,7581051,
PB,2010,3766528,
PE,2010,8796448,
PI,2010,3118360,
PR,2010,10444526,
RJ,2010,15989929,
RN,2010,3168027,
RO,2010,1562409,
RR,2010,450479,
RS,2010,10693929,
SC,2010,6248436,
SE,2010,2068017,
SP,2010,41262199,
TO,2010,1383445,
AC,2011,746386,
AL,2011,3143384,
AM,2011,3538387,
AP,2011,684309,
BA,2011,14097534,
CE,2011,8530155,
DF,2011,2609998,
ES,2011,3547055,
GO,2011,6080716,
MA,2011,6645761,
MG,2011,19728701,
MS,2011,2477542,
MT,2011,3075936,
PA,2011,7688593,
PB,2011,3791315,
PE,2011,8864906,
PI,2011,3140328,
PR,2011,10512349,
RJ,2011,16112678,
RN,2011,3198657,
RO,2011,1576455,
RR,2011,460165,
RS,2011,10733030,
SC,2011,6317054,
SE,2011,2089819,
SP,2011,41587182,
TO,2011,1400892,
AC,2012,758786,542
AL,2012,3165472,2421
AM,2012,3590985,2511
AP,2012,698602,510
BA,2012,14175341,11040
CE,2012,8606005,6707
DF,2012,2648532,2161
ES,2012,3578067,2926
GO,2012,6154996,4969
MA,2012,6714314,4874
MG,2012,19855332,16175
MS,2012,2505088,1899
MT,2012,3115336,2426
PA,2012,7792561,5691
PB,2012,3815171,2942
PE,2012,8931028,7021
PI,2012,3160748,2474
PR,2012,10577755,8618
RJ,2012,16231365,13424
RN,2012,3228198,2544
RO,2012,1590011,1219
RR,2012,469524,300
RS,2012,10770603,8951
SC,2012,6383286,5283
SE,2012,2110867,1650
SP,2012,41901219,34986
TO,2012,1417694,1066
AC,2013,776463,560
AL,2013,3300935,2426
AM,2013,3807921,2565
AP,2013,734996,543
BA,2013,15044137,11185
CE,2013,8778576,6833
DF,2013,2789761,2225
ES,2013,3839366,2996
GO,2013,6434048,5071
MA,2013,6794301,4922
MG,2013,20593356,16399
MS,2013,2587269,1935
MT,2013,3182113,2490
PA,2013,7969654,5844
PB,2013,3914421,2969
PE,2013,9208550,7120
PI,2013,3184166,2483
PR,2013,10997465,8694
RJ,2013,16369179,13572
RN,2013,3373959,2594
RO,2013,1728214,1260
RR,2013,488072,312
RS,2013,11164043,9075
SC,2013,6634254,5371
SE,2013,2195662,1664
SP,2013,43663669,35373
TO,2013,1478164,1085
AC,2014,790101,573
AL,2014,3321730,2465
AM,2014,3873743,2641
AP,2014,750912,544
BA,2014,15126371,11323
CE,2014,8842791,6889
DF,2014,2852372,2247
ES,2014,3885049,3012
GO,2014,6523222,5134
MA,2014,6850884,4968
MG,2014,20734097,16560
MS,2014,2619657,1969
MT,2014,3224357,2499
PA,2014,8073924,5947
PB,2014,3943885,2987
PE,2014,9277727,7203
PI,2014,3194718,2489
PR,2014,11081692,8817
RJ,2014,16461173,13838
RN,2014,3408510,2644
RO,2014,1748531,1293
RR,2014,496936,331
RS,2014,11207274,9082
SC,2014,6727148,5478
SE,2014,2219574,1694
SP,2014,44035304,35955
TO,2014,1496880,1096
AC,2015,803513,584
AL,2015,3340932,2504
AM,2015,3938336,2727
AP,2015,766679,549
BA,2015,15203334,11394
CE,2015,8904459,6931
DF,2015,2914830,2286
ES,2015,3929911,3096
GO,2015,6610681,5250
MA,2015,6904241,5036
MG,2015,20869101,16836
MS,2015,2651235,1997
MT,2015,3265486,2522
PA,2015,8175113,6078
PB,2015,3972202,3043
PE,2015,9345173,7350
PI,2015,3204028,2525
PR,2015,11163018,8909
RJ,2015,16550024,13925
RN,2015,3442175,2688
RO,2015,1768204,1278
RR,2015,505665,342
RS,2015,11247972,9160
SC,2015,6819190,5579
SE,2015,2242937,1746
SP,2015,44396484,36230
TO,2015,1515126,1115
AC,2016,816687,605
AL,2016,3358963,2542
AM,2016,4001667,2746
AP,2016,782295,578
BA,2016,15276566,11564
CE,2016,8963663,7053
DF,2016,2977216,2314
ES,2016,3973697,3124
GO,2016,6695855,5341
MA,2016,6954036,5102
MG,2016,20997560,16872
MS,2016,2682386,2064
MT,2016,3305531,2580
PA,2016,8272724,6207
PB,2016,3999415,3087
PE,2016,9410336,7383
PI,2016,3212180,2541
PR,2016,11242720,9047
RJ,2016,16635996,14043
RN,2016,3474998,2753
RO,2016,1787279,1304
RR,2016,514229,355
RS,2016,11286500,9205
SC,2016,6910553,5630
SE,2016,2265779,1771
SP,2016,44749699,36647
TO,2016,1532902,1145
AC,2017,829619,612
AL,2017,3375823,2571
AM,2017,4063614,2848
AP,2017,797722,595
BA,2017,15344447,11609
CE,2017,9020460,7143
DF,2017,3039444,2391
ES,2017,4016356,3137
GO,2017,6778772,5480
MA,2017,7000229,5178
MG,2017,21119536,17084
MS,2017,2713147,2075
MT,2017,3344544,2620
PA,2017,8366628,6353
PB,2017,4025558,3119
PE,2017,9473266,7492
PI,2017,3219257,2533
PR,2017,11320892,9125
RJ,2017,16718956,14240
RN,2017,3507003,2765
RO,2017,1805788,1348
RR,2017,522636,366
RS,2017,11322895,9258
SC,2017,7001161,5721
SE,2017,2288116,1768
SP,2017,45094866,36850
TO,2017,1550194,1177
AC,2018,869265,640
AL,2018,3322820,2593
AM,2018,4080611,2939
AP,2018,829494,615
BA,2018,14812617,11734
CE,2018,9075649,7195
DF,2018,2974703,2442
ES,2018,3972388,3173
GO,2018,6921161,5504
MA,2018,7035055,5261
MG,2018,21040662,17164
MS,2018,2748023,2115
MT,2018,3441998,2655
PA,2018,8513497,6449
PB,2018,3996496,3144
PE,2018,9496294,7474
PI,2018,3264531,2562
PR,2018,11348937,9193
RJ,2018,17159960,14323
RN,2018,3479010,2798
RO,2018,1757589,1373
RR,2018,576568,392
RS,2018,11329605,9340
SC,2018,7075494,5819
SE,2018,2278308,1802
SP,2018,45538936,37348
TO,2018,1555229,1200
AC,2019,881935,653
AL,2019,3337357,2601
AM,2019,4144597,2987
AP,2019,845731,620
BA,2019,14873064,11808
CE,2019,9132078,7297
DF,2019,3015268,2460
ES,2019,4018650,3233
GO,2019,7018354,5636
MA,2019,7075181,5347
MG,2019,21168791,17383
MS,2019,2778986,2140
MT,2019,3484466,2667
PA,2019,8602865,6546
PB,2019,4018127,3175
PE,2019,9557071,7624
PI,2019,3273227,2591
PR,2019,11433957,9217
RJ,2019,17264943,14530
RN,2019,3506853,2783
RO,2019,1777225,1388
RR,2019,605761,397
RS,2019,11377239,9396
SC,2019,7164788,5899
SE,2019,2298696,1816
SP,2019,45919049,37580
TO,2019,1572866,1223
AC,2020,894470,669
AL,2020,3351543,2602
AM,2020,4207714,3035
AP,2020,861773,658
BA,2020,14930634,12004
CE,2020,9187103,7389
DF,2020,3055149,2491
ES,2020,4064052,3261
GO,2020,7113540,5700
MA,2020,7114598,5325
MG,2020,21292666,17361
MS,2020,2809394,2121
MT,2020,3526220,2731
PA,2020,8690745,6635
PB,2020,4039277,3145
PE,2020,9616621,7555
PI,2020,3281480,2559
PR,2020,11516840,9421
RJ,2020,17366189,14540
RN,2020,3534165,2846
RO,2020,1796460,1404
RR,2020,631181,416
RS,2020,11422973,9418
SC,2020,7252502,6010
SE,2020,2318822,1847
SP,2020,46289333,38322
TO,2020,1590248,1214
AC,2021,906876,674
AL,2021,3365351,2615
AM,2021,4269995,3075
AP,2021,877613,677
BA,2021,14985284,12034
CE,2021,9240580,7467
DF,2021,3094325,2494
ES,2021,4108508,3326
GO,2021,7206589,5793
MA,2021,7153262,5441
MG,2021,21411923,17525
MS,2021,2839188,2157
MT,2021,3567234,2737
PA,2021,8777124,6758
PB,2021,4059905,3200
PE,2021,9674793,7647
PI,2021,3289290,2633
PR,2021,11597484,9393
RJ,2021,17463349,14688
RN,2021,3560903,2899
RO,2021,1815278,1445
RR,2021,652713,424
RS,2021,11466630,9533
SC,2021,7338473,5947
SE,2021,2338474,1873
SP,2021,46649132,38573
TO,2021,1607363,1258
